TIME,BIN1,BIN2,BIN3,BIN4,BIN5,BIN6,BIN7,BIN8,BIN9,BIN10,BIN11,BIN12,BIN13,BIN14,BIN15,BIN16,BIN17,BIN18,BIN19,BIN20,BIN21
176.727075,-3.385014,67.762093,-31.053011,14.720032,-5.775777,15.124039,13.169425,23.672974,-3.424601,4.340177,-3.693728,-7.858663,-2.393558,-2.775234,4.496484,13.318626,-0.200130,-0.960172,-9.294905,-11.761190,-14.476798
176.750295,1.316659,66.449203,-30.226534,10.871980,-9.160258,17.502590,16.858093,20.097464,-3.494984,0.658625,-5.683013,-9.483170,-3.092281,0.421187,7.418187,14.595833,0.457062,-2.261202,-11.812971,-12.558907,-12.367026
176.773515,-0.597823,68.774918,-33.791222,10.276956,-9.878773,19.387749,14.443655,17.973850,0.906668,4.960449,-10.118698,-10.380457,-4.414090,-3.103206,6.580223,14.554953,0.660318,0.126408,-13.081936,-12.154506,-11.926690
176.796735,-4.827245,74.307770,-37.099854,18.954754,-7.107472,20.274761,13.363415,19.051752,1.942975,10.156333,-6.187885,-7.644783,-4.095923,-7.303563,10.875567,8.723274,-0.090425,0.637495,-7.349137,-9.225124,-9.003368
176.819955,-5.752204,79.809151,-40.128708,21.457054,-7.457444,21.885410,9.865258,19.437012,0.922085,10.160478,-4.979680,-6.497291,-1.756435,-4.114152,10.990010,6.365913,1.226894,-3.893320,-8.340998,-9.809641,-6.172871
176.843175,-4.596856,76.016464,-36.157993,16.939743,-7.476878,15.316458,10.204885,21.774426,-0.900796,9.713832,-6.008744,-9.258647,-2.493977,0.609746,8.896999,11.348827,-2.341578,-5.620996,-12.060293,-9.081747,-7.329618
176.866395,-3.368296,74.117622,-31.070339,15.180862,-8.526602,12.638607,7.616124,20.621067,-0.457638,7.707027,-5.261081,-11.053233,-1.901983,-3.762987,6.102542,8.354220,-3.261030,-4.849994,-11.531646,-8.650470,-10.110308
176.889615,-5.402054,78.581741,-34.858292,17.605904,-13.067142,14.129271,5.638103,22.056877,-1.430462,7.604033,-3.420136,-10.364537,-1.841534,-6.043119,3.823702,6.007011,0.106790,-4.778909,-10.381605,-10.444208,-7.991734
176.912834,-11.155977,79.794296,-38.071285,23.165571,-12.341135,16.212732,6.606129,22.517740,-0.966250,6.681468,-6.515662,-13.981249,-2.759946,-2.713483,9.671672,7.237034,0.051840,-4.861312,-9.657854,-11.464594,-5.157080
176.936054,-15.317155,81.754196,-44.596832,22.884857,-11.816805,20.912624,11.374963,21.176439,0.253347,2.679951,-9.206793,-18.114960,-0.479192,-1.182383,14.517494,9.977424,-1.128910,-0.771096,-13.257465,-6.978857,-8.737226
